District LEA,NCES LEA ID,District Description,Agency Description,OP Status Description,Charter LEA Status,Phone Number,Mailing Address,USPS Address,Web Address
3001000,503240,Bismarck School District,Regular,Open,NOTCHR,501-865-4888,"11636 Hwy 84
Bismarck
AR - 71929","11636 Hwy 84
Bismarck
AR - 71929",http://www.bsd-lions.net
2901000,503300,Blevins School District,Regular,Open,NOTCHR,870-874-2801,"5954 Hwy 29 N
Blevins
AR - 71825","P O Box 98
Blevins
AR - 71825",http://hornet.swsc.k12.ar.us
4702000,503320,Blytheville School District,Regular,Open,NOTCHR,870-762-2053,"405 W Park St
Blytheville
AR - 72315","P O Box 1169
Blytheville
AR - 72316",http://bythevilleschools.com
4201000,503450,Booneville School District,Regular,Open,NOTCHR,479-675-3504,"381 W Seventh St
Booneville
AR - 72927","381 W Seventh St
Booneville
AR - 72927",http://www.booneville.k12.ar.us
7303000,503480,Bradford School District,Regular,Open,NOTCHR,501-344-2707,"504 W Main
Bradford
AR - 72020","P O Box 60
Bradford
AR - 72020",http://bradford.k12.ar.us
4801000,503630,Brinkley School District,Regular,Open,NOTCHR,870-734-5000,"200 Tiger Dr
Brinkley
AR - 72021","200 Tiger Dr
Brinkley
AR - 72021",http://www.brinkleyschools.com
1603000,503640,Brookland School District,Regular,Open,NOTCHR,870-932-2080,"200 W School St
Brookland
AR - 72417","200 W School St
Brookland
AR - 72417",http://brookland.crsc.k12.ar.us
6303000,503690,Bryant School District,Regular,Open,NOTCHR,501-847-5600,"200 Nw Fourth St
Bryant
AR - 72022","200 Nw Fourth St
Bryant
AR - 72022",http://www.bryantschools.org
1605000,503710,Buffalo Is. Central Sch. Dist.,Regular,Open,NOTCHR,870-486-5411,"801 W Drew
Monette
AR - 72447","P O Box 730
Monette
AR - 72447",http://www.buffaloislandcentral.com
4304000,503750,Cabot School District,Regular,Open,NOTCHR,501-843-3363,"602 N Lincoln
Cabot
AR - 72023","602 N Lincoln
Cabot
AR - 72023",http://cabot.k12.ar.us
4901000,503770,Caddo Hills School District,Regular,Open,NOTCHR,870-356-4495,"2268 Hwy 8 E
Norman
AR - 71960","2268 Hwy 8 E
Norman
AR - 71960",http://caddohills.dsc.k12.ar.us
3301000,503840,Calico Rock School District,Regular,Open,NOTCHR,870-297-8339,"301 College St
Calico Rock
AR - 72519","P O Box 220
Calico Rock
AR - 72519",http://pirates.k12.ar.us
5204000,506060,Camden Fairview School Dist.,Regular,Open,NOTCHR,870-836-4193,"625 Clifton St
Camden
AR - 71701","625 Clifton St
Camden
AR - 71701",http://cfsd.k12.ar.us
4303000,503960,Carlisle School District,Regular,Open,NOTCHR,870-552-3931,"520 Center St
Carlisle
AR - 72024","520 Center St
Carlisle
AR - 72024",http://bison.wmsc.k12.ar.us
6802000,504050,Cave City School District,Regular,Open,NOTCHR,870-283-5391,"711 N Main St
Cave City
AR - 72521","P O Box 600
Cave City
AR - 72521",http://www.cavecity.ncsc.k12.ar.us
3212000,500070,Cedar Ridge School District,Regular,Open,NOTCHR,870-799-8691,"1502 N Hill St
Newark
AR - 72562","1502 N Hill St
Newark
AR - 72562",http://www.crsd.k12.ar.us
1702000,504080,Cedarville School District,Regular,Open,NOTCHR,479-474-7220,"9500 Pirates Point
Cedarville
AR - 72932","9500 Pirates Point
Cedarville
AR - 72932",http://cedarville.ar.schoolwebpages.com
5502000,506690,Centerpoint School District,Regular,Open,NOTCHR,870-356-2912,"755 Hwy 8 E
Amity
AR - 71921","755 Hwy 8 E
Amity
AR - 71921",http://www.centerpoint.dsc.k12.ar.us
2402000,504200,Charleston School District,Regular,Open,NOTCHR,479-965-7160,"125 W Main
Charleston
AR - 72933","P O Box 188
Charleston
AR - 72933",http://tigers.wsc.k12.ar.us
4802000,504350,Clarendon School District,Regular,Open,NOTCHR,870-747-3351,"316 N Sixth St
Clarendon
AR - 72029","316 N 6Th St
Clarendon
AR - 72029",http://lions.grsc.k12.ar.us
3601000,504380,Clarksville School District,Regular,Open,NOTCHR,479-705-3200,"1701 Clark Rd
Clarksville
AR - 72830","1701 Clark Rd
Clarksville
AR - 72830",http://panthernet.wsc.k12.ar.us
1305000,500067,Cleveland County School Dist.,Regular,Open,NOTCHR,870-325-6344,"700 Main St
Rison
AR - 71665","P O Box 600
Rison
AR - 71665",http://rison.k12.ar.us
7102000,504410,Clinton School District,Regular,Open,NOTCHR,501-745-6000,"683 Poplar St
Clinton
AR - 72031","683 Poplar St
Clinton
AR - 72031",http://clinton.k12.ar.us
1201000,504560,Concord School District,Regular,Open,NOTCHR,870-668-3844,"10920 N Heber Springs Rd
Concord
AR - 72523","P O Box 10
Concord
AR - 72523",http://concord.k12.ar.us
2301000,504590,Conway School District,Regular,Open,NOTCHR,501-450-4800,"2220 Prince St
Conway
AR - 72034","2220 Prince St
Conway
AR - 72034",http://www.conwayschools.org
1101000,500009,Corning School District,Regular,Open,NOTCHR,870-857-6818,"479 Bobcat Ln
Corning
AR - 72422","P O Box 479
Corning
AR - 72422",http://www.corningschools.k12.ar.us
5707000,500405,Cossatot River School District,Regular,Open,NOTCHR,870-385-7101,"130 School Dr
Wickes
AR - 71973","130 School Dr
Wickes
AR - 71973",http://cossatot.org
302000,504680,Cotter School District,Regular,Open,NOTCHR,870-435-6171,"Mable And Lithia St
Cotter
AR - 72626","P O Box 70
Cotter
AR - 72626",http://cotterschools.net
2403000,504740,County Line School District,Regular,Open,NOTCHR,479-635-2222,"12092 W State Hwy 22
Branch
AR - 72928","12092 W State Hwy 22
Branch
AR - 72928",http://indians.wsc.k12.ar.us
1901000,507740,Cross County School District,Regular,Open,CHRTIDEAESEA,870-588-3338,"21 County Rd 215
Cherry Valley
AR - 72324","P O Box 180
Cherry Valley
AR - 72324",http://www.crosscountyschools.com
201000,504800,Crossett School District,Regular,Open,NOTCHR,870-364-3112,"219 Main
Crossett
AR - 71635","219 Main
Crossett
AR - 71635",http://crossett.k12.ar.us
2601000,504860,Cutter-Morning Star Sch. Dist.,Regular,Open,NOTCHR,501-262-2414,"2801 Spring St
Hot Springs
AR - 71901","2801 Spring St
Hot Springs
AR - 71901",http://http:/eaglesnest.dsc.k12.ar.us
7503000,504890,Danville School District,Regular,Open,NOTCHR,479-495-4800,"E 11Th And Boston
Danville
AR - 72833","P O Box 939
Danville
AR - 72833",http://dps-littlejohns.net
7504000,504930,Dardanelle School District,Regular,Open,NOTCHR,479-229-4111,"209 Cedar
Dardanelle
AR - 72834","209 Cedar St
Dardanelle
AR - 72834",http://.dardanelle.k12.ar.us
402000,504980,Decatur School District,Regular,Open,NOTCHR,479-752-3986,"1498 Stadium Ave
Decatur
AR - 72722","1498 Stadium Ave
Decatur
AR - 72722",http://www.decatur.k12.ar.us
5106000,500072,Deer/Mt. Judea School District,Regular,Open,NOTCHR,870-428-5433,"Hwy 61 Parker Ridge Rd
Deer
AR - 72628","P O Box 56
Deer
AR - 72628",http://deermtjudea.k12.ar.us
6701000,500049,Dequeen School District,Regular,Open,NOTCHR,870-584-4312,"101 N Ninth St
De Queen
AR - 71832","P O Box 950
De Queen
AR - 71832",http://dequeen.k12.ar.us
901000,505170,Dermott School District,Regular,Open,NOTCHR,870-538-1000,"525 E Speedway Hwy 35
Dermott
AR - 71638","525 E Speedway Hwy 35
Dermott
AR - 71638",http://dermott.k12.ar.us/
5901000,505190,Des Arc School District,Regular,Open,NOTCHR,870-256-4164,"600 Main St
Des Arc
AR - 72040","600 Main St
Des Arc
AR - 72040",http://desarc.wmsc.k12.ar.us/
101000,500001,Dewitt School District,Regular,Open,NOTCHR,870-946-3576,"422 W First
Dewitt
AR - 72042","422 W First
Dewitt
AR - 72042",http://dewittschooldistrict.net
3102000,505340,Dierks School District,Regular,Open,NOTCHR,870-286-2191,"900 Old Hwy 70 W
Dierks
AR - 71833","P O Box 124
Dierks
AR - 71833",http://outlaw.dmsc.k12.ar.us
3502000,505410,Dollarway School District,Regular,Open,NOTCHR,870-534-7003,"4900 Dollarway Rd
Pine Bluff
AR - 71602","4900 Dollarway Rd
Pine Bluff
AR - 71602",http://dollarway.k12.ar.us
5802000,505430,Dover School District,Regular,Open,NOTCHR,479-331-2916,"9371 Market St
Dover
AR - 72837","P O Box 325
Dover
AR - 72837",http://pirates.afsc.k12.ar.us
2202000,505470,Drew Central School District,Regular,Open,NOTCHR,870-367-5369,"250 University Dr
Monticello
AR - 71655","250 University Dr
Monticello
AR - 71655",http://www.drewcentral.org
2104000,505500,Dumas School District,Regular,Open,NOTCHR,870-382-4571,"213 Adams St
Dumas
AR - 71639","213 Adams St
Dumas
AR - 71639",http://dumas.k12.ar.us
1802000,505550,Earle School District,Regular,Open,NOTCHR,870-792-8486,"1401 Third St
Earle
AR - 72331","P O Box 637
Earle
AR - 72331",http://www.earle.crsc.k12.ar.us
5301000,505580,East End School District,Regular,Open,NOTCHR,501-759-2808,"114 Panther Dr
Bigelow
AR - 72016","P O Box 360
Bigelow
AR - 72016",http://www.bigelow.afsc.k12.ar.us
5608000,500048,East Poinsett Co. School Dist.,Regular,Open,NOTCHR,870-475-2472,"502 Mcclellan St
Lepanto
AR - 72354","502 Mcclellan St
Lepanto
AR - 72354",http://epc.k12.ar.us
7001000,505680,El Dorado School District,Regular,Open,NOTCHR,870-864-5001,"200 W Oak St
El Dorado
AR - 71730","200 W Oak St
El Dorado
AR - 71730",http://www.eldoradopublicschools.com
7201000,505760,Elkins School District,Regular,Open,NOTCHR,479-643-2172,"349 N Center
Elkins
AR - 72727","349 N Center
Elkins
AR - 72727",http://elks.k12.ar.us
1408000,500068,Emerson-Taylor School District,Regular,Open,NOTCHR,870-547-2218,"508 W Main
Emerson
AR - 71740","P O Box 129
Emerson
AR - 71740",http://emersontaylor.k12.ar.us
4302000,505850,England School District,Regular,Open,NOTCHR,501-842-2996,"501 Pine Bluff Hwy
England
AR - 72046","501 Pine Bluff Hwy
England
AR - 72046",http://england.k12.ar.us
802000,505970,Eureka Springs School District,Regular,Open,NOTCHR,479-253-5999,"147 Greenwood Hollow Rd
Eureka Springs
AR - 72632","147 Greenwood Hollow Rd
Eureka Springs
AR - 72632",http://eurekaspringsschools.k12.ar.us
7202000,506090,Farmington School District,Regular,Open,NOTCHR,479-266-1805,"42 S Double Springs Rd
Farmington
AR - 72730","42 S Dbl Springs Rd
Farmington
AR - 72730",http://farmcards.org
7203000,506120,Fayetteville School District,Regular,Open,NOTCHR,479-444-3000,"1000 W Stone St
Fayetteville
AR - 72701","1000 W Stone St
Fayetteville
AR - 72701",http://www.fayar.net
4501000,506150,Flippin School District,Regular,Open,NOTCHR,870-453-2270,"210 Alford St
Flippin
AR - 72634","210 Alford St
Flippin
AR - 72634",http://flippin.ar.schoolwebpages.com
2002000,506210,Fordyce School District,Regular,Open,NOTCHR,870-352-3005,"104 College St
Fordyce
AR - 71742","P O Box 706
Fordyce
AR - 71742",http://fordyceschools.org
4102000,506240,Foreman School District,Regular,Open,NOTCHR,870-542-7211,"603 Dollarhide
Foreman
AR - 71836","P O Box 480
Foreman
AR - 71836",http://www.foremanschooldistrict.com
6201000,506270,Forrest City School District,Regular,Open,NOTCHR,870-633-1485,"845 N Rosser
Forrest City
AR - 72335","845 N Rosser
Forrest City
AR - 72335",http://mustang.grsc.k12.ar.us
6601000,506330,Fort Smith School District,Regular,Open,NOTCHR,479-785-2501,"3205 Jenny Lind Rd
Fort Smith
AR - 72901","P O Box 1948
Fort Smith
AR - 72902",http://www.fortsmithschools.org
4603000,506360,Fouke School District,Regular,Open,NOTCHR,870-653-4311,"200 N Davis
Fouke
AR - 71837","P O Box 20
Fouke
AR - 71837",http://fouke.swsc.k12.ar.us/home
2602000,506420,Fountain Lake School District,Regular,Open,NOTCHR,501-623-5655,"4207 Park Ave
Hot Springs
AR - 71901","4207 Park Ave
Hot Springs
AR - 71901",http://flcobra.k12.ar.us
4602000,504110,Genoa Central School District,Regular,Open,NOTCHR,870-653-4343,"12472 St Hwy 196
Texarkana
AR - 71854","12472 St Hwy 196
Texarkana
AR - 71854",http://dragons1.k12.ar.us/dragons/
403000,506540,Gentry School District,Regular,Open,NOTCHR,479-736-2253,"201 S Giles
Gentry
AR - 72734","201 S Giles Ave
Gentry
AR - 72734",http://gentrypioneers.com
3002000,506630,Glen Rose School District,Regular,Open,NOTCHR,501-332-6764,"14334 Hwy 67
Malvern
AR - 72104","14334 Hwy 67
Malvern
AR - 72104",http://www.grbeavers.org
4708000,500029,Gosnell School District,Regular,Open,NOTCHR,870-532-4000,"600 Hwy 181
Gosnell
AR - 72315","600 Hwy 181 N
Gosnell
AR - 72315",http://pirates.crsc.k12.ar.us
404000,506840,Gravette School District,Regular,Open,NOTCHR,479-787-4100,"609 Birmingham Se
Gravette
AR - 72736","609 Birmingham Se
Gravette
AR - 72736",http://www.lions.k12.ar.us
803000,506870,Green Forest School District,Regular,Open,NOTCHR,870-438-5201,"400 E Tenth St
Green Forest
AR - 72638","P O Box 1950
Green Forest
AR - 72638",http://www.gf.k12.ar.us
2303000,506900,Greenbrier School District,Regular,Open,NOTCHR,501-679-4808,"4 School Dr
Greenbrier
AR - 72058","4 School Dr
Greenbrier
AR - 72058",http://gps.k12.ar.us
2807000,513080,Greene Co. Tech School Dist.,Regular,Open,NOTCHR,870-236-2762,"5413 W Kingshighway
Paragould
AR - 72450","5413 W Kingshighway
Paragould
AR - 72450",http://www.gctsd.k12.ar.us
7204000,506930,Greenland School District,Regular,Open,NOTCHR,479-521-2366,"10 N Main
Greenland
AR - 72737","P O Box 57
Greenland
AR - 72737",http://greenlandschools.k12.ar.us
6602000,506990,Greenwood School District,Regular,Open,NOTCHR,479-996-4142,"420 N Main
Greenwood
AR - 72936","420 N Main
Greenwood
AR - 72936",http://www.greenwoodarkansasschools.com
1003000,507110,Gurdon School District,Regular,Open,NOTCHR,870-353-4454,"1 Go-Devil Rd
Gurdon
AR - 71743","1 Go-Devil Rd
Gurdon
AR - 71743",http://gurdon.ar.schoolwebpages.com
2304000,507140,Guy-Perkins School District,Regular,Open,NOTCHR,501-679-7224,"492 Hwy 25 N
Guy
AR - 72061","492 Hwy 25 N
Guy
AR - 72061",http://thunderbird.k12.ar.us
6603000,507170,Hackett School District,Regular,Open,NOTCHR,479-638-8822,"102 N Oak St
Hackett
AR - 72937","102 N Oak St
Hackett
AR - 72937",http://hackett.wsc.k12.ar.us
203000,500042,Hamburg School District,Regular,Open,NOTCHR,870-853-9851,"202 E Parker St
Hamburg
AR - 71646","202 E Parker St
Hamburg
AR - 71646",http://hsdlions.org
701000,507230,Hampton School District,Regular,Open,NOTCHR,870-798-2229,"455 E Main St
Hampton
AR - 71744","P O Box 1176
Hampton
AR - 71744",http://hampton.k12.ar.us
5205000,507290,Harmony Grove School District,Regular,Open,NOTCHR,870-574-0971,"401 Ouachita Rd 88
Camden
AR - 71701","401 Ouachita 88
Camden
AR - 71701",http://harmonygrove.k12.ar.us
6304000,507320,Harmony Grove School District,Regular,Open,NOTCHR,501-778-6271,"2621 Hwy 229
Benton
AR - 72015","2621 Hwy 229
Benton
AR - 72015",http://cardinals.dsc.k12.ar.us
5602000,507350,Harrisburg School District,Regular,Open,NOTCHR,870-578-2416,"207 W Estes St
Harrisburg
AR - 72432","207 W Estes
Harrisburg
AR - 72432",http://sting.k12.ar.us
503000,507380,Harrison School District,Regular,Open,NOTCHR,870-741-7600,"110 S Cherry
Harrison
AR - 72601","110 S Cherry
Harrison
AR - 72601",http://harrison.k12.ar.us
5903000,507530,Hazen School District,Regular,Open,NOTCHR,870-255-4549,"477 N Hazen Ave
Hazen
AR - 72064","477 N Hazen Ave
Hazen
AR - 72064",http://hazen.wmsc.k12.ar.us
1202000,507560,Heber Springs School District,Regular,Open,NOTCHR,501-362-6712,"1100 W Pine St
Heber Springs
AR - 72543","1100 W Pine St
Heber Springs
AR - 72543",http://hssdweb.k12.ar.us
5803000,507620,Hector School District,Regular,Open,NOTCHR,479-284-2021,"11520 Sr 27
Hector
AR - 72843","11520 Sr 27
Hector
AR - 72843",http://wildcats.afsc.k12.ar.us
5403000,507680,Helena/ W.Helena School Dist.,Regular,Open,NOTCHR,870-338-4425,"305 Valley Dr
Helena
AR - 72342","P O Box 369
Helena
AR - 72342",http://hwh.grsc.k12.ar.us
601000,507710,Hermitage School District,Regular,Open,NOTCHR,870-463-2246,"310 N School Dr
Hermitage
AR - 71647","P O Box 38
Hermitage
AR - 71647",http://hermit.k12.ar.us
6804000,507770,Highland School District,Regular,Open,NOTCHR,870-856-3275,"1627 Hwy 62/412
Hardy
AR - 72542","P O Box 419
Hardy
AR - 72542",http://highlandrebels.k12.ar.us
3809000,500071,Hillcrest School District,Regular,Open,NOTCHR,870-528-3856,"146 S Main St
Strawberry
AR - 72469","P O Box 50
Strawberry
AR - 72469",http://hillcrest.k12.ar.us
2903000,507840,Hope School District,Regular,Open,NOTCHR,870-722-2700,"117 E Second
Hope
AR - 71801","117 E Second St
Hope
AR - 71801",http://hope.k12.ar.us
6703000,507860,Horatio School District,Regular,Open,NOTCHR,870-832-2340,"205 Isbell St
Horatio
AR - 71842","205 Isbell St
Horatio
AR - 71842",http://horatio.dmsc.k12.ar.us
2603000,507890,Hot Springs School District,Regular,Open,NOTCHR,501-624-3372,"400 Linwood Ave
Hot Springs
AR - 71913","400 Linwood Ave
Hot Springs
AR - 71913",http://www.hssd.net
3804000,507990,Hoxie School District,Regular,Open,NOTCHR,870-886-2401,"305 Sw Alice St
Hoxie
AR - 72433","P O Box 240
Hoxie
AR - 72433",http://green.nesc.k12.ar.us
4401000,508130,Huntsville School District,Regular,Open,NOTCHR,479-738-2011,"570 W Main
Huntsville
AR - 72740","P O Drawer F
Huntsville
AR - 72740",http://eagle.nwsc.k12.ar.us
3306000,500021,Izard Co. Cons. School Dist.,Regular,Open,NOTCHR,870-258-7700,"5068 N Ar 9
Brockwell
AR - 72517","P O Box 115
Brockwell
AR - 72517",http://www.icc.k12.ar.us
3405000,513230,Jackson Co. School District,Regular,Open,NOTCHR,870-349-2232,"300 N Dowell
Tuckerman
AR - 72473","P O Box 1070
Tuckerman
AR - 72473",http://bulldogs.k12.ar.us
6004000,500419,Jacksonville North Pulaski School District,Regular,Open,NOTCHR,501-241-2080,"1414 W Main
Jacksonville
AR - 72076","1414 W Main
Jacksonville
AR - 72076",http://#http://www.jnpsd.org/#
5102000,508240,Jasper School District,Regular,Open,NOTCHR,870-446-2223,"600 School St
Jasper
AR - 72641","P O Box 446
Jasper
AR - 72641",http://jasper.k12.ar.us
2604000,507920,Jessieville School District,Regular,Open,NOTCHR,501-984-5381,"7900 N Hwy 7
Jessieville
AR - 71949","P O Box 4
Jessieville
AR - 71949",http://www.jville.k12.ar.us
1608000,508280,Jonesboro School District,Regular,Open,NOTCHR,870-933-5800,"2506 Sw Square
Jonesboro
AR - 72401","2506 Sw Square
Jonesboro
AR - 72401",http://www.jps.k12.ar.us
7003000,508340,Junction City School District,Regular,Open,NOTCHR,870-924-4575,"100 W Holly
Junction City
AR - 71749","P O Box 790
Junction City
AR - 71749",http://junctioncity.k12.ar.us/
5503000,508490,Kirby School District,Regular,Open,NOTCHR,870-398-4212,"2614 Hwy 27N
Kirby
AR - 71950","P O Box 9
Kirby
AR - 71950",http://kirby.dsc.k12.ar.us/
3704000,500065,Lafayette County School District,Regular,Open,NOTCHR,870-921-5500,"712 Chestnut St
Lewisville
AR - 71845","P O Box 950
Lewisville
AR - 71845",http://lafayette.k12.ar.us/
2605000,508610,Lake Hamilton School District,Regular,Open,NOTCHR,501-767-2306,"205 Wolf St
Pearcy
AR - 71964","205 Wolf St
Pearcy
AR - 71964",http://wolves.k12.ar.us
2606000,508670,Lakeside School District,Regular,Open,NOTCHR,501-262-1880,"2837 Malvern Ave
Hot Springs
AR - 71901","2837 Malvern Ave
Hot Springs
AR - 71901",http://lakesidesd.org
903000,508640,Lakeside School District (Chicot County),Regular,Open,NOTCHR,870-265-7300,"1110 S Lakeshore
Lake Village
AR - 71653","1110 S Lakeshore
Lake Village
AR - 71653",http://www.lakeside.k12.ar.us.
3604000,508700,Lamar School District,Regular,Open,NOTCHR,479-885-3907,"301 Elberta St
Lamar
AR - 72846","301 Elberta St
Lamar
AR - 72846",http://lamarwarriors.org
6605000,508730,Lavaca School District,Regular,Open,NOTCHR,479-674-5611,"203 Fir St
Lavaca
AR - 72941","P O Box 8
Lavaca
AR - 72941",http://lavacapublicschools.k12.ar.us
3810000,500082,Lawrence County School District,Regular,Open,NOTCHR,870-886-6634,"508 E Free St
Walnut Ridge
AR - 72476","508 E Free St
Walnut Ridge
AR - 72476",http://www.lcsd.k12.ar.us
506000,503420,Lead Hill School District,Regular,Open,NOTCHR,870-436-5249,"6966 Milam Dr
Lead Hill
AR - 72644","P O Box 20
Lead Hill
AR - 72644",http://leadhill.ar.schoolwebpages.com
3904000,509360,Lee County School District,Regular,Open,NOTCHR,870-295-7100,"188 W Chestnut St
Marianna
AR - 72360","188 W Chestnut St
Marianna
AR - 72360",http://lcsd1.grsc.k12.ar.us/
7205000,508940,Lincoln School District,Regular,Open,NOTCHR,479-824-3010,"117 Boyer St Ste A
Lincoln
AR - 72744","P O Box 1127
Lincoln
AR - 72744",http://wolfpride.nwsc.k12.ar.us
6001000,509000,Little Rock School District,Regular,Open,NOTCHR,501-447-1002,"810 W Markham St
Little Rock
AR - 72201","810 W Markham St
Little Rock
AR - 72201",http://www.lrsd.org
4301000,509060,Lonoke School District,Regular,Open,NOTCHR,501-676-2042,"401 W Holly St
Lonoke
AR - 72086","401 W Holly St
Lonoke
AR - 72086",http://lonokeschools.org
4202000,509150,Magazine School District,Regular,Open,NOTCHR,479-969-2566,"485 E Priddy St
Magazine
AR - 72943","485 E Priddy St
Magazine
AR - 72943",http://magazinerattlers.k12.ar.us
3003000,509190,Magnet Cove School Dist.,Regular,Open,NOTCHR,501-332-5468,"472 Magnet School Rd
Malvern
AR - 72104","472 Magnet School Rd
Malvern
AR - 72104",http://magnetcove.k12.ar.us
1402000,500044,Magnolia School District,Regular,Open,NOTCHR,870-234-4933,"1400 High School Dr
Magnolia
AR - 71753","P O Box 649
Magnolia
AR - 71754",http://www.magnliaschools.net
3004000,509240,Malvern School District,Regular,Open,NOTCHR,501-332-7500,"1517 S Main St
Malvern
AR - 72104","1517 S Main St
Malvern
AR - 72104",http://malvern.dsc.k12.ar.us
2501000,509270,Mammoth Spring School District,Regular,Open,NOTCHR,870-625-3612,"410 Goldsmith Ave
Mammoth Spring
AR - 72554","410 Goldsmith Ave
Mammoth Spring
AR - 72554",http://mammothspringschools.k12.ar.us
4712000,500046,Manila School District,Regular,Open,NOTCHR,870-561-4419,"419 E Olympia St
Manila
AR - 72442","P O Box 670
Manila
AR - 72442",http://mps.crsc.k12.ar.us
6606000,509330,Mansfield School District,Regular,Open,NOTCHR,479-928-4006,"402 Grove St
Mansfield
AR - 72944","402 Grove St
Mansfield
AR - 72944",http://www.mansfieldtigers.com
1804000,509390,Marion School District,Regular,Open,NOTCHR,870-739-5100,"200 Manor St
Marion
AR - 72364","200 Manor St
Marion
AR - 72364",http://www.msd3.org
5604000,509420,Marked Tree School District,Regular,Open,NOTCHR,870-358-2913,"406 St Francis St
Marked Tree
AR - 72365","406 St Francis St
Marked Tree
AR - 72365",http://mtree.crsc.k12.ar.us
2803000,500016,Marmaduke School District,Regular,Open,NOTCHR,870-597-2723,"1010 Greyhound Dr
Marmaduke
AR - 72443","1010 Greyhound Dr
Marmaduke
AR - 72443",http://marmaduke.nesc.k12.ar.us
5404000,509510,Marvell School District,Regular,Open,NOTCHR,870-829-2101,"203 S Pine St
Marvell
AR - 72366","P O Box 1870
Marvell
AR - 72366",http://marvell.grsc.k12.ar.us
2305000,509540,Mayflower School District,Regular,Open,NOTCHR,501-470-0506,"15 Old Sandy Rd
Mayflower
AR - 72106","P O Box 127
Mayflower
AR - 72106",http://mayflowerschools.info
6102000,509570,Maynard School District,Regular,Open,NOTCHR,870-647-2051,"74 Campus Dr
Maynard
AR - 72444","P O Box 499
Maynard
AR - 72444",http://maynard.nesc.k12.ar.us
7403000,509600,Mccrory School District,Regular,Open,NOTCHR,870-731-2535,"509 N Jackson St
Mccrory
AR - 72101","P O Box 930
Mccrory
AR - 72101",http://mccrory.k12.ar.us
2105000,509630,Mcgehee School District,Regular,Open,NOTCHR,870-222-3670,"409 Oak St
Mcgehee
AR - 71654","409 Oak St
Mcgehee
AR - 71654",http://owls.k12.ar.us
